00000,0000*,000**,00***,0****,*****
23917,2391*,239**,23***,2****,*****
24148,2414*,241**,24***,2****,*****
24333,2433*,243**,24***,2****,*****
24348,2434*,243**,24***,2****,*****
27006,2700*,270**,27***,2****,*****
27007,2700*,270**,27***,2****,*****
27009,2700*,270**,27***,2****,*****
27010,2701*,270**,27***,2****,*****
27011,2701*,270**,27***,2****,*****
27012,2701*,270**,27***,2****,*****
27013,2701*,270**,27***,2****,*****
27014,2701*,270**,27***,2****,*****
27016,2701*,270**,27***,2****,*****
27017,2701*,270**,27***,2****,*****
27018,2701*,270**,27***,2****,*****
27019,2701*,270**,27***,2****,*****
27020,2702*,270**,27***,2****,*****
27021,2702*,270**,27***,2****,*****
27022,2702*,270**,27***,2****,*****
27023,2702*,270**,27***,2****,*****
27024,2702*,270**,27***,2****,*****
27025,2702*,270**,27***,2****,*****
27027,2702*,270**,27***,2****,*****
27028,2702*,270**,27***,2****,*****
27030,2703*,270**,27***,2****,*****
27040,2704*,270**,27***,2****,*****
27041,2704*,270**,27***,2****,*****
27042,2704*,270**,27***,2****,*****
27043,2704*,270**,27***,2****,*****
27045,2704*,270**,27***,2****,*****
27046,2704*,270**,27***,2****,*****
27047,2704*,270**,27***,2****,*****
27048,2704*,270**,27***,2****,*****
27050,2705*,270**,27***,2****,*****
27051,2705*,270**,27***,2****,*****
27052,2705*,270**,27***,2****,*****
27053,2705*,270**,27***,2****,*****
27054,2705*,270**,27***,2****,*****
27055,2705*,270**,27***,2****,*****
27101,2710*,271**,27***,2****,*****
27102,2710*,271**,27***,2****,*****
27103,2710*,271**,27***,2****,*****
27104,2710*,271**,27***,2****,*****
27105,2710*,271**,27***,2****,*****
27106,2710*,271**,27***,2****,*****
27107,2710*,271**,27***,2****,*****
27108,2710*,271**,27***,2****,*****
27109,2710*,271**,27***,2****,*****
27110,2711*,271**,27***,2****,*****
27113,2711*,271**,27***,2****,*****
27117,2711*,271**,27***,2****,*****
27127,2712*,271**,27***,2****,*****
27203,2720*,272**,27***,2****,*****
27205,2720*,272**,27***,2****,*****
27207,2720*,272**,27***,2****,*****
27208,2720*,272**,27***,2****,*****
27209,2720*,272**,27***,2****,*****
27212,2721*,272**,27***,2****,*****
27213,2721*,272**,27***,2****,*****
27214,2721*,272**,27***,2****,*****
27215,2721*,272**,27***,2****,*****
27217,2721*,272**,27***,2****,*****
27228,2722*,272**,27***,2****,*****
27229,2722*,272**,27***,2****,*****
27231,2723*,272**,27***,2****,*****
27233,2723*,272**,27***,2****,*****
27235,2723*,272**,27***,2****,*****
27239,2723*,272**,27***,2****,*****
27242,2724*,272**,27***,2****,*****
27243,2724*,272**,27***,2****,*****
27244,2724*,272**,27***,2****,*****
27247,2724*,272**,27***,2****,*****
27248,2724*,272**,27***,2****,*****
27249,2724*,272**,27***,2****,*****
27252,2725*,272**,27***,2****,*****
27253,2725*,272**,27***,2****,*****
27256,2725*,272**,27***,2****,*****
27258,2725*,272**,27***,2****,*****
27259,2725*,272**,27***,2****,*****
27260,2726*,272**,27***,2****,*****
27261,2726*,272**,27***,2****,*****
27262,2726*,272**,27***,2****,*****
27263,2726*,272**,27***,2****,*****
27265,2726*,272**,27***,2****,*****
27278,2727*,272**,27***,2****,*****
27281,2728*,272**,27***,2****,*****
27282,2728*,272**,27***,2****,*****
27283,2728*,272**,27***,2****,*****
27284,2728*,272**,27***,2****,*****
27288,2728*,272**,27***,2****,*****
27291,2729*,272**,27***,2****,*****
27292,2729*,272**,27***,2****,*****
27295,2729*,272**,27***,2****,*****
27298,2729*,272**,27***,2****,*****
27299,2729*,272**,27***,2****,*****
27301,2730*,273**,27***,2****,*****
27302,2730*,273**,27***,2****,*****
27305,2730*,273**,27***,2****,*****
27306,2730*,273**,27***,2****,*****
27310,2731*,273**,27***,2****,*****
27311,2731*,273**,27***,2****,*****
27312,2731*,273**,27***,2****,*****
27313,2731*,273**,27***,2****,*****
27314,2731*,273**,27***,2****,*****
27315,2731*,273**,27***,2****,*****
27316,2731*,273**,27***,2****,*****
27317,2731*,273**,27***,2****,*****
27320,2732*,273**,27***,2****,*****
27325,2732*,273**,27***,2****,*****
27326,2732*,273**,27***,2****,*****
27330,2733*,273**,27***,2****,*****
27332,2733*,273**,27***,2****,*****
27341,2734*,273**,27***,2****,*****
27343,2734*,273**,27***,2****,*****
27344,2734*,273**,27***,2****,*****
27349,2734*,273**,27***,2****,*****
27350,2735*,273**,27***,2****,*****
27355,2735*,273**,27***,2****,*****
27356,2735*,273**,27***,2****,*****
27357,2735*,273**,27***,2****,*****
27358,2735*,273**,27***,2****,*****
27360,2736*,273**,27***,2****,*****
27370,2737*,273**,27***,2****,*****
27371,2737*,273**,27***,2****,*****
27376,2737*,273**,27***,2****,*****
27377,2737*,273**,27***,2****,*****
27379,2737*,273**,27***,2****,*****
27400,2740*,274**,27***,2****,*****
27401,2740*,274**,27***,2****,*****
27402,2740*,274**,27***,2****,*****
27403,2740*,274**,27***,2****,*****
27404,2740*,274**,27***,2****,*****
27405,2740*,274**,27***,2****,*****
27406,2740*,274**,27***,2****,*****
27407,2740*,274**,27***,2****,*****
27408,2740*,274**,27***,2****,*****
27409,2740*,274**,27***,2****,*****
27410,2741*,274**,27***,2****,*****
27411,2741*,274**,27***,2****,*****
27412,2741*,274**,27***,2****,*****
27413,2741*,274**,27***,2****,*****
27455,2745*,274**,27***,2****,*****
27501,2750*,275**,27***,2****,*****
27502,2750*,275**,27***,2****,*****
27503,2750*,275**,27***,2****,*****
27504,2750*,275**,27***,2****,*****
27505,2750*,275**,27***,2****,*****
27507,2750*,275**,27***,2****,*****
27508,2750*,275**,27***,2****,*****
27509,2750*,275**,27***,2****,*****
27510,2751*,275**,27***,2****,*****
27511,2751*,275**,27***,2****,*****
27513,2751*,275**,27***,2****,*****
27514,2751*,275**,27***,2****,*****
27516,2751*,275**,27***,2****,*****
27517,2751*,275**,27***,2****,*****
27518,2751*,275**,27***,2****,*****
27519,2751*,275**,27***,2****,*****
27520,2752*,275**,27***,2****,*****
27521,2752*,275**,27***,2****,*****
27522,2752*,275**,27***,2****,*****
27523,2752*,275**,27***,2****,*****
27524,2752*,275**,27***,2****,*****
27525,2752*,275**,27***,2****,*****
27526,2752*,275**,27***,2****,*****
27527,2752*,275**,27***,2****,*****
27529,2752*,275**,27***,2****,*****
27530,2753*,275**,27***,2****,*****
27531,2753*,275**,27***,2****,*****
27534,2753*,275**,27***,2****,*****
27536,2753*,275**,27***,2****,*****
27537,2753*,275**,27***,2****,*****
27539,2753*,275**,27***,2****,*****
27540,2754*,275**,27***,2****,*****
27541,2754*,275**,27***,2****,*****
27542,2754*,275**,27***,2****,*****
27544,2754*,275**,27***,2****,*****
27545,2754*,275**,27***,2****,*****
27546,2754*,275**,27***,2****,*****
27549,2754*,275**,27***,2****,*****
27551,2755*,275**,27***,2****,*****
27553,2755*,275**,27***,2****,*****
27555,2755*,275**,27***,2****,*****
27556,2755*,275**,27***,2****,*****
27557,2755*,275**,27***,2****,*****
27559,2755*,275**,27***,2****,*****
27560,2756*,275**,27***,2****,*****
27562,2756*,275**,27***,2****,*****
27563,2756*,275**,27***,2****,*****
27565,2756*,275**,27***,2****,*****
27568,2756*,275**,27***,2****,*****
27569,2756*,275**,27***,2****,*****
27571,2757*,275**,27***,2****,*****
27572,2757*,275**,27***,2****,*****
27573,2757*,275**,27***,2****,*****
27574,2757*,275**,27***,2****,*****
27576,2757*,275**,27***,2****,*****
27577,2757*,275**,27***,2****,*****
27581,2758*,275**,27***,2****,*****
27582,2758*,275**,27***,2****,*****
27583,2758*,275**,27***,2****,*****
27586,2758*,275**,27***,2****,*****
27587,2758*,275**,27***,2****,*****
27589,2758*,275**,27***,2****,*****
27591,2759*,275**,27***,2****,*****
27592,2759*,275**,27***,2****,*****
27593,2759*,275**,27***,2****,*****
27596,2759*,275**,27***,2****,*****
27597,2759*,275**,27***,2****,*****
27599,2759*,275**,27***,2****,*****
27601,2760*,276**,27***,2****,*****
27603,2760*,276**,27***,2****,*****
27604,2760*,276**,27***,2****,*****
27605,2760*,276**,27***,2****,*****
27606,2760*,276**,27***,2****,*****
27607,2760*,276**,27***,2****,*****
27608,2760*,276**,27***,2****,*****
27609,2760*,276**,27***,2****,*****
27610,2761*,276**,27***,2****,*****
27612,2761*,276**,27***,2****,*****
27613,2761*,276**,27***,2****,*****
27614,2761*,276**,27***,2****,*****
27615,2761*,276**,27***,2****,*****
27616,2761*,276**,27***,2****,*****
27617,2761*,276**,27***,2****,*****
27699,2769*,276**,27***,2****,*****
27701,2770*,277**,27***,2****,*****
27703,2770*,277**,27***,2****,*****
27704,2770*,277**,27***,2****,*****
27705,2770*,277**,27***,2****,*****
27707,2770*,277**,27***,2****,*****
27708,2770*,277**,27***,2****,*****
27712,2771*,277**,27***,2****,*****
27713,2771*,277**,27***,2****,*****
27801,2780*,278**,27***,2****,*****
27802,2780*,278**,27***,2****,*****
27803,2780*,278**,27***,2****,*****
27804,2780*,278**,27***,2****,*****
27805,2780*,278**,27***,2****,*****
27806,2780*,278**,27***,2****,*****
27807,2780*,278**,27***,2****,*****
27808,2780*,278**,27***,2****,*****
27809,2780*,278**,27***,2****,*****
27810,2781*,278**,27***,2****,*****
27811,2781*,278**,27***,2****,*****
27812,2781*,278**,27***,2****,*****
27813,2781*,278**,27***,2****,*****
27814,2781*,278**,27***,2****,*****
27816,2781*,278**,27***,2****,*****
27817,2781*,278**,27***,2****,*****
27818,2781*,278**,27***,2****,*****
27819,2781*,278**,27***,2****,*****
27820,2782*,278**,27***,2****,*****
27821,2782*,278**,27***,2****,*****
27822,2782*,278**,27***,2****,*****
27823,2782*,278**,27***,2****,*****
27824,2782*,278**,27***,2****,*****
27825,2782*,278**,27***,2****,*****
27826,2782*,278**,27***,2****,*****
27827,2782*,278**,27***,2****,*****
27828,2782*,278**,27***,2****,*****
27829,2782*,278**,27***,2****,*****
27830,2783*,278**,27***,2****,*****
27831,2783*,278**,27***,2****,*****
27832,2783*,278**,27***,2****,*****
27833,2783*,278**,27***,2****,*****
27834,2783*,278**,27***,2****,*****
27835,2783*,278**,27***,2****,*****
27836,2783*,278**,27***,2****,*****
27837,2783*,278**,27***,2****,*****
27838,2783*,278**,27***,2****,*****
27839,2783*,278**,27***,2****,*****
27840,2784*,278**,27***,2****,*****
27841,2784*,278**,27***,2****,*****
27842,2784*,278**,27***,2****,*****
27843,2784*,278**,27***,2****,*****
27844,2784*,278**,27***,2****,*****
27845,2784*,278**,27***,2****,*****
27846,2784*,278**,27***,2****,*****
27847,2784*,278**,27***,2****,*****
27849,2784*,278**,27***,2****,*****
27850,2785*,278**,27***,2****,*****
27851,2785*,278**,27***,2****,*****
27852,2785*,278**,27***,2****,*****
27853,2785*,278**,27***,2****,*****
27854,2785*,278**,27***,2****,*****
27855,2785*,278**,27***,2****,*****
27856,2785*,278**,27***,2****,*****
27857,2785*,278**,27***,2****,*****
27858,2785*,278**,27***,2****,*****
27860,2786*,278**,27***,2****,*****
27861,2786*,278**,27***,2****,*****
27862,2786*,278**,27***,2****,*****
27863,2786*,278**,27***,2****,*****
27864,2786*,278**,27***,2****,*****
27865,2786*,278**,27***,2****,*****
27866,2786*,278**,27***,2****,*****
27867,2786*,278**,27***,2****,*****
27868,2786*,278**,27***,2****,*****
27869,2786*,278**,27***,2****,*****
27870,2787*,278**,27***,2****,*****
27871,2787*,278**,27***,2****,*****
27872,2787*,278**,27***,2****,*****
27873,2787*,278**,27***,2****,*****
27874,2787*,278**,27***,2****,*****
27875,2787*,278**,27***,2****,*****
27876,2787*,278**,27***,2****,*****
27877,2787*,278**,27***,2****,*****
27878,2787*,278**,27***,2****,*****
27879,2787*,278**,27***,2****,*****
27880,2788*,278**,27***,2****,*****
27881,2788*,278**,27***,2****,*****
27882,2788*,278**,27***,2****,*****
27883,2788*,278**,27***,2****,*****
27884,2788*,278**,27***,2****,*****
27885,2788*,278**,27***,2****,*****
27886,2788*,278**,27***,2****,*****
27887,2788*,278**,27***,2****,*****
27888,2788*,278**,27***,2****,*****
27889,2788*,278**,27***,2****,*****
27890,2789*,278**,27***,2****,*****
27891,2789*,278**,27***,2****,*****
27892,2789*,278**,27***,2****,*****
27893,2789*,278**,27***,2****,*****
27896,2789*,278**,27***,2****,*****
27897,2789*,278**,27***,2****,*****
27909,2790*,279**,27***,2****,*****
27910,2791*,279**,27***,2****,*****
27915,2791*,279**,27***,2****,*****
27916,2791*,279**,27***,2****,*****
27917,2791*,279**,27***,2****,*****
27919,2791*,279**,27***,2****,*****
27920,2792*,279**,27***,2****,*****
27921,2792*,279**,27***,2****,*****
27922,2792*,279**,27***,2****,*****
27923,2792*,279**,27***,2****,*****
27924,2792*,279**,27***,2****,*****
27925,2792*,279**,27***,2****,*****
27926,2792*,279**,27***,2****,*****
27927,2792*,279**,27***,2****,*****
27928,2792*,279**,27***,2****,*****
27929,2792*,279**,27***,2****,*****
27932,2793*,279**,27***,2****,*****
27935,2793*,279**,27***,2****,*****
27936,2793*,279**,27***,2****,*****
27937,2793*,279**,27***,2****,*****
27938,2793*,279**,27***,2****,*****
27939,2793*,279**,27***,2****,*****
27941,2794*,279**,27***,2****,*****
27942,2794*,279**,27***,2****,*****
27943,2794*,279**,27***,2****,*****
27944,2794*,279**,27***,2****,*****
27946,2794*,279**,27***,2****,*****
27947,2794*,279**,27***,2****,*****
27948,2794*,279**,27***,2****,*****
27949,2794*,279**,27***,2****,*****
27950,2795*,279**,27***,2****,*****
27953,2795*,279**,27***,2****,*****
27954,2795*,279**,27***,2****,*****
27956,2795*,279**,27***,2****,*****
27957,2795*,279**,27***,2****,*****
27958,2795*,279**,27***,2****,*****
27959,2795*,279**,27***,2****,*****
27960,2796*,279**,27***,2****,*****
27962,2796*,279**,27***,2****,*****
27964,2796*,279**,27***,2****,*****
27965,2796*,279**,27***,2****,*****
27966,2796*,279**,27***,2****,*****
27967,2796*,279**,27***,2****,*****
27968,2796*,279**,27***,2****,*****
27969,2796*,279**,27***,2****,*****
27970,2797*,279**,27***,2****,*****
27972,2797*,279**,27***,2****,*****
27973,2797*,279**,27***,2****,*****
27974,2797*,279**,27***,2****,*****
27976,2797*,279**,27***,2****,*****
27978,2797*,279**,27***,2****,*****
27979,2797*,279**,27***,2****,*****
27980,2798*,279**,27***,2****,*****
27981,2798*,279**,27***,2****,*****
27982,2798*,279**,27***,2****,*****
27983,2798*,279**,27***,2****,*****
27985,2798*,279**,27***,2****,*****
27986,2798*,279**,27***,2****,*****
28001,2800*,280**,28***,2****,*****
28006,2800*,280**,28***,2****,*****
28007,2800*,280**,28***,2****,*****
28009,2800*,280**,28***,2****,*****
28010,2801*,280**,28***,2****,*****
28012,2801*,280**,28***,2****,*****
28016,2801*,280**,28***,2****,*****
28017,2801*,280**,28***,2****,*****
28018,2801*,280**,28***,2****,*****
28019,2801*,280**,28***,2****,*****
28020,2802*,280**,28***,2****,*****
28021,2802*,280**,28***,2****,*****
28023,2802*,280**,28***,2****,*****
28024,2802*,280**,28***,2****,*****
28025,2802*,280**,28***,2****,*****
28026,2802*,280**,28***,2****,*****
28027,2802*,280**,28***,2****,*****
28031,2803*,280**,28***,2****,*****
28032,2803*,280**,28***,2****,*****
28033,2803*,280**,28***,2****,*****
28034,2803*,280**,28***,2****,*****
28035,2803*,280**,28***,2****,*****
28036,2803*,280**,28***,2****,*****
28037,2803*,280**,28***,2****,*****
28038,2803*,280**,28***,2****,*****
28039,2803*,280**,28***,2****,*****
28040,2804*,280**,28***,2****,*****
28041,2804*,280**,28***,2****,*****
28042,2804*,280**,28***,2****,*****
28043,2804*,280**,28***,2****,*****
28052,2805*,280**,28***,2****,*****
28054,2805*,280**,28***,2****,*****
28056,2805*,280**,28***,2****,*****
28071,2807*,280**,28***,2****,*****
28072,2807*,280**,28***,2****,*****
28073,2807*,280**,28***,2****,*****
28075,2807*,280**,28***,2****,*****
28076,2807*,280**,28***,2****,*****
28077,2807*,280**,28***,2****,*****
28078,2807*,280**,28***,2****,*****
28079,2807*,280**,28***,2****,*****
28080,2808*,280**,28***,2****,*****
28081,2808*,280**,28***,2****,*****
28082,2808*,280**,28***,2****,*****
28083,2808*,280**,28***,2****,*****
28086,2808*,280**,28***,2****,*****
28088,2808*,280**,28***,2****,*****
28089,2808*,280**,28***,2****,*****
28090,2809*,280**,28***,2****,*****
28091,2809*,280**,28***,2****,*****
28092,2809*,280**,28***,2****,*****
